code	name	Component	type	area	date	variable	value	hour	DateTime
GB0729A	Aberdeen	PM10	background	urban	2014-09-09	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-10	X00.00.00.59	34.6392	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-10	X00.00.00.59	11.135212	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-10	X00.00.00.59	14.7	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-11	X00.00.00.59	16.502963	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-11	X00.00.00.59	11.401687	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-11	X00.00.00.59	18.8	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-12	X00.00.00.59	21.617625	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-12	X00.00.00.59	9.012975	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-12	X00.00.00.59	41.5	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-13	X00.00.00.59	28.66965	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-13	X00.00.00.59	13.870725	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-13	X00.00.00.59	27.5	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-14	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-14	X00.00.00.59	4.988437	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-14	X00.00.00.59	22.5	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-15	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-15	X00.00.00.59	5.944687	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-15	X00.00.00.59	11	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-16	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-16	X00.00.00.59	13.584488	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-16	X00.00.00.59	23.6	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-17	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-17	X00.00.00.59	10.950337	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-17	X00.00.00.59	16.1	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-18	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-18	X00.00.00.59	9.479625	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-18	X00.00.00.59	20.7	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-19	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-19	X00.00.00.59	16.390125	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-19	X00.00.00.59	24.1	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-20	X00.00.00.59	2.020237	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-20	X00.00.00.59	17.653012	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-20	X00.00.00.59	16.3	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-21	X00.00.00.59	7.324875	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-21	X00.00.00.59	9.943088	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-21	X00.00.00.59	2.5	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-22	X00.00.00.59	18.894225	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-22	X00.00.00.59	6.259613	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-22	X00.00.00.59	34.3	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-23	X00.00.00.59	15.767287	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-23	X00.00.00.59	3.46545	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-23	X00.00.00.59	10.3	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-24	X00.00.00.59	11.297138	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-24	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-24	X00.00.00.59	2.5	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-25	X00.00.00.59	13.012012	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-25	X00.00.00.59	2.071238	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-25	X00.00.00.59	8.8	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-26	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-26	X00.00.00.59	1.431825	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-26	X00.00.00.59	2.2	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-27	X00.00.00.59	16.458337	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-27	X00.00.00.59	3.816712	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-27	X00.00.00.59	11	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-28	X00.00.00.59	21.882187	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-28	X00.00.00.59	5.281687	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-28	X00.00.00.59	8.5	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-29	X00.00.00.59	28.163475	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-29	X00.00.00.59	7.22925	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-29	X00.00.00.59	19.3	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-30	X00.00.00.59	8.313	0	2014-07-01
